"","firstName","lastName","raceEthnicity","fullName"
"483","Jess","Harnell","W_NL","Jess Harnell"
"484","Charlie","Hayes","B_NL","Charlie Hayes"
"485","Eve","Karpf","W_NL","Eve Karpf"
"486","John","Kassir","W_NL","John Kassir"
"487","Lewis","Macleod","W_NL","Lewis Macleod"
"488","Danny","Mann","W_NL","Danny Mann"
"489","Mona","Marshall","B_NL","Mona Marshall"
"490","Gary","Martin","W_NL","Gary Martin"
"491","Mickie","McGowan","W_NL","Mickie McGowan"
"492","Andy","Nyman","W_NL","Andy Nyman"
"493","Jan","Rabson","W_NL","Jan Rabson"
"494","Chris","Ragland","B_NL","Chris Ragland"
"495","Zachary","Rice","W_NL","Zachary Rice"
"496","Cole","Sand","W_NL","Cole Sand"
"497","Mindy","Sterling","W_NL","Mindy Sterling"
"498","Tara","Strong","B_NL","Tara Strong"
"499","Will","Vanderpuye","B_NL","Will Vanderpuye"
"500","James","Kevin Ward","W_NL","James Kevin Ward"
"501","Colette","Whitaker","B_NL","Colette Whitaker"
"502","James","Daniel Wilson","B_NL","James Daniel Wilson"
"503","Eugenie","Bondurant","B_NL","Eugenie Bondurant"
"504","Meta","Golding","W_NL","Meta Golding"
"505","Omid","Abtahi","A","Omid Abtahi"
"506","Joe","Chrest","W_NL","Joe Chrest"
"507","Michelle","Forbes","B_NL","Michelle Forbes"
"508","Misty","Ormiston","W_NL","Misty Ormiston"
"509","Kim","Ormiston","W_NL","Kim Ormiston"
"510","Mark","Jeffrey Miller","W_NL","Mark Jeffrey Miller"
"511","April","Grace","B_NL","April Grace"
